id,date,count
0,2016-04-01,34136
1,2016-04-02,39541
2,2016-04-03,45632
3,2016-04-04,46337
4,2016-04-05,40591
5,2016-04-06,38272
6,2016-04-07,37708
7,2016-04-08,38816
8,2016-04-09,38378
9,2016-04-10,45734
10,2016-04-11,61841
11,2016-04-12,55950
12,2016-04-13,44792
13,2016-04-14,43455
14,2016-04-15,47179
15,2016-04-16,44877
16,2016-04-17,53382
17,2016-04-18,56398
18,2016-04-19,51015
19,2016-04-20,53075
20,2016-04-21,55617
21,2016-04-22,63705
22,2016-04-23,70975
23,2016-04-24,129630
24,2016-04-25,262248
25,2016-04-26,142818
26,2016-04-27,97307
27,2016-04-28,72439
28,2016-04-29,62450
29,2016-04-30,60778
30,2016-05-01,76110
31,2016-05-02,185086
32,2016-05-03,114041
33,2016-05-04,78724
34,2016-05-05,66951
35,2016-05-06,61962
36,2016-05-07,58682
37,2016-05-08,74957
38,2016-05-09,154052
39,2016-05-10,91511
40,2016-05-11,65156
41,2016-05-12,54907
42,2016-05-13,49935
43,2016-05-14,53619
44,2016-05-15,69549
45,2016-05-16,160577
46,2016-05-17,99357
47,2016-05-18,70553
48,2016-05-19,59422
49,2016-05-20,54557
50,2016-05-21,55308
51,2016-05-22,79170
52,2016-05-23,193185
53,2016-05-24,127930
54,2016-05-25,90412
55,2016-05-26,76404
56,2016-05-27,64463
57,2016-05-28,61911
58,2016-05-29,80488
59,2016-05-30,430907
60,2016-05-31,102597
61,2016-06-01,75046
62,2016-06-02,66376
63,2016-06-03,61912
64,2016-06-04,57664
65,2016-06-05,72932
66,2016-06-06,165890
67,2016-06-07,94478
68,2016-06-08,72488
69,2016-06-09,68709
70,2016-06-10,56670
71,2016-06-11,52625
72,2016-06-12,66941
73,2016-06-13,144572
74,2016-06-14,86469
75,2016-06-15,64045
76,2016-06-16,55189
77,2016-06-17,49400
78,2016-06-18,49259
79,2016-06-19,64967
80,2016-06-20,207036
81,2016-06-21,138579
82,2016-06-22,97760
83,2016-06-23,83486
84,2016-06-24,69619
85,2016-06-25,68720
86,2016-06-26,92969
87,2016-06-27,343670
88,2016-06-28,227733
89,2016-06-29,156403
90,2016-06-30,115812
91,2016-07-01,95597
